Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	predicted biotin regulatory protein BioR (GntR family)	fig|1351.508.peg.169
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Substrate-specific component BioY of biotin ECF transporter	fig|1351.508.peg.1481
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|1351.508.peg.1635
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|1351.508.peg.1069, fig|1351.508.peg.1522
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin-protein ligase (EC 6.3.4.15)	fig|1351.508.peg.1635
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	tRNA S(4)U 4-thiouridine synthase (former ThiI)	fig|1351.508.peg.1316
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Substrate-specific component ThiW of predicted thiazole ECF transporter	fig|1351.508.peg.2098
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin pyrophosphokinase (EC 2.7.6.2)	fig|1351.508.peg.1530
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Transmembrane component YkoC of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	fig|1351.508.peg.2109
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Phosphomethylpyrimidine kinase (EC 2.7.4.7)	fig|1351.508.peg.2101
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Substrate-specific component ThiT of thiamin ECF transporter	fig|1351.508.peg.1463
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Substrate-specific component YkoE of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	fig|1351.508.peg.2107
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Putative cysteine desulfurase, associated with tRNA 4-thiouridine synthase	fig|1351.508.peg.2829
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|1351.508.peg.2100
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxyethylthiazole kinase (EC 2.7.1.50)	fig|1351.508.peg.2099
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Naphthoate synthase (EC 4.1.3.36)	fig|1351.508.peg.2759
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|1351.508.peg.2757
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	fig|1351.508.peg.2755
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|1351.508.peg.2756
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|1351.508.peg.2758
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoate synthase (EC 4.2.1.113)	fig|1351.508.peg.2754
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	fig|1351.508.peg.1643
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	Naphthoate synthase (EC 4.1.3.36)	fig|1351.508.peg.2759
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|1351.508.peg.2757
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	fig|1351.508.peg.2755
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|1351.508.peg.2756
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|1351.508.peg.2758
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	O-succinylbenzoate synthase (EC 4.2.1.113)	fig|1351.508.peg.2754
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)	fig|1351.508.peg.1643
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	FMN adenylyltransferase (EC 2.7.7.2)	fig|1351.508.peg.217
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	FIG000859: hypothetical protein YebC	fig|1351.508.peg.2689
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Molybdopterin binding motif, CinA N-terminal domain	fig|1351.508.peg.1581
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Substrate-specific component RibU of riboflavin ECF transporter	fig|1351.508.peg.384
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	fig|1351.508.peg.2692, fig|1351.508.peg.2693
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	C-terminal domain of CinA type S	fig|1351.508.peg.1581
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	fig|1351.508.peg.1106
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	tRNA pseudouridine synthase B (EC 4.2.1.70)	fig|1351.508.peg.216
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism in plants	Riboflavin kinase (EC 2.7.1.26)	fig|1351.508.peg.217
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	FMN adenylyltransferase (EC 2.7.7.2)	fig|1351.508.peg.217
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	riboflavin to FAD	Riboflavin kinase (EC 2.7.1.26)	fig|1351.508.peg.217
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Flavodoxin	Flavodoxin	fig|1351.508.peg.834
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	FMN adenylyltransferase (EC 2.7.7.2)	fig|1351.508.peg.217
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	Substrate-specific component RibU of riboflavin ECF transporter	fig|1351.508.peg.384
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	fig|1351.508.peg.1106
Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN, FAD	Riboflavin, FMN and FAD metabolism	Riboflavin kinase (EC 2.7.1.26)	fig|1351.508.peg.217
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Predicted transcriptional regulator of pyridoxine metabolism	fig|1351.508.peg.952
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	fig|1351.508.peg.1284, fig|1351.508.peg.1553
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	fig|1351.508.peg.585
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin (Vitamin B6) Biosynthesis	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	fig|1351.508.peg.371, fig|1351.508.peg.724
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin(Vitamin B6) Degradation Pathway	Hypothetical NagD-like phosphatase	fig|1351.508.peg.118
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Substrate-specific component NiaX of predicted niacin ECF transporter	fig|1351.508.peg.2428
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nudix-related transcriptional regulator NrtR	fig|1351.508.peg.1086
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	fig|1351.508.peg.1161
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	NAD kinase (EC 2.7.1.23)	fig|1351.508.peg.1116
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Transcriptional repressor for NAD biosynthesis in gram-positives	fig|1351.508.peg.2026
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	Predicted N-ribosylNicotinamide CRP-like regulator	fig|1351.508.peg.705
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	C-terminal domain of CinA type S	fig|1351.508.peg.1581, fig|1351.508.peg.1581
Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP	NAD and NADP cofactor biosynthesis global	ADP-ribose pyrophosphatase (EC 3.6.1.13)	fig|1351.508.peg.1089
