Category	Subcategory	Subsystem	Role	Features
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioG	fig|1796613.7.peg.627
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|1796613.7.peg.629
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|1796613.7.peg.442, fig|1796613.7.peg.628
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Dethiobiotin synthetase (EC 6.3.3.3)	fig|1796613.7.peg.625
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	fig|1796613.7.peg.629
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|1796613.7.peg.1074, fig|1796613.7.peg.2169, fig|1796613.7.peg.2409, fig|1796613.7.peg.3835
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioC	fig|1796613.7.peg.626
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	ATPase component BioM of energizing module of biotin ECF transporter	fig|1796613.7.peg.755, fig|1796613.7.peg.935, fig|1796613.7.peg.1901, fig|1796613.7.peg.2023, fig|1796613.7.peg.2918, fig|1796613.7.peg.3631
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Dethiobiotin synthetase (EC 6.3.3.3)	fig|1796613.7.peg.625
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthesis protein BioG	fig|1796613.7.peg.627
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Biotin synthase (EC 2.8.1.6)	fig|1796613.7.peg.629
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis Experimental	Competence protein F homolog, phosphoribosyltransferase domain	fig|1796613.7.peg.1055
