Category	Subcategory	Subsystem	Role	Features
Phages, Prophages, Transposable elements	Phages, Prophages, Transposable elements - no subcategory	Transposase in enterics	Transposase YfcI	fig|562.374.peg.3459
Phages, Prophages, Transposable elements	Phages, Prophages, Transposable elements - no subcategory	Transposase in enterics	Transposase YhgA	fig|562.374.peg.4977
Phages, Prophages, Transposable elements	Phages, Prophages	Phage head and packaging	Phage (Mu-like) virion morphogenesis protein	fig|562.374.peg.267
Phages, Prophages, Transposable elements	Phages, Prophages	Phage head and packaging	Phage capsid and scaffold	fig|562.374.peg.145, fig|562.374.peg.794, fig|562.374.peg.798
Phages, Prophages, Transposable elements	Phages, Prophages	Phage head and packaging	Phage terminase, small subunit	fig|562.374.peg.1397, fig|562.374.peg.1539, fig|562.374.peg.560
Phages, Prophages, Transposable elements	Phages, Prophages	Phage head and packaging	Phage terminase, large subunit	fig|562.374.peg.102, fig|562.374.peg.1100, fig|562.374.peg.1538, fig|562.374.peg.265, fig|562.374.peg.499, fig|562.374.peg.500, fig|562.374.peg.511, fig|562.374.peg.5988, fig|562.374.peg.801
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin--protein ligase (EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15)	fig|562.374.peg.3654
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|562.374.peg.3654
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|562.374.peg.2662
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	fig|562.374.peg.2660
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Dethiobiotin synthetase (EC 6.3.3.3)	fig|562.374.peg.2658, fig|562.374.peg.4440
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioH	fig|562.374.peg.4978
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	fig|562.374.peg.4207, fig|562.374.peg.4324
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	fig|562.374.peg.2661
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	Biotin synthesis protein BioC	fig|562.374.peg.2659
Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin	Biotin biosynthesis	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	fig|562.374.peg.3502, fig|562.374.peg.974
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	fig|562.374.peg.1814
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Rhodanese-like domain required for thiamine synthesis	fig|562.374.peg.5571
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, transmembrane component	fig|562.374.peg.2243
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxyethylthiazole kinase (EC 2.7.1.50)	fig|562.374.peg.1815
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Sulfur carrier protein adenylyltransferase ThiF	fig|562.374.peg.3671
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	tRNA S(4)U 4-thiouridine synthase (former ThiI)	fig|562.374.peg.5571
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17)	fig|562.374.peg.3673
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, ATPase component	fig|562.374.peg.2244
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiazole biosynthesis protein ThiG	fig|562.374.peg.3669
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	2-iminoacetate synthase (ThiH) (EC 4.1.99.19)	fig|562.374.peg.3668
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|562.374.peg.5579
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fig|562.374.peg.5575
Cofactors, Vitamins, Prosthetic Groups, Pigments	Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory	Thiamin biosynthesis	Thiamin ABC transporter, substrate-binding component	fig|562.374.peg.2242
